s2_scene_id,cloud_percentage,output_fn,season,patch_id
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00000_4.tif,harvest,g19_00000_4
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00000_5.tif,harvest,g19_00000_5
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00000_8.tif,harvest,g19_00000_8
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00002_11.tif,harvest,g19_00002_11
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00002_12.tif,harvest,g19_00002_12
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00002_13.tif,harvest,g19_00002_13
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00002_14.tif,harvest,g19_00002_14
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00002_15.tif,harvest,g19_00002_15
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00002_16.tif,harvest,g19_00002_16
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00002_17.tif,harvest,g19_00002_17
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_0.tif,harvest,g19_00003_0
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_1.tif,harvest,g19_00003_1
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_10.tif,harvest,g19_00003_10
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_11.tif,harvest,g19_00003_11
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_12.tif,harvest,g19_00003_12
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_13.tif,harvest,g19_00003_13
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_14.tif,harvest,g19_00003_14
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_15.tif,harvest,g19_00003_15
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_16.tif,harvest,g19_00003_16
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_17.tif,harvest,g19_00003_17
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_18.tif,harvest,g19_00003_18
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_2.tif,harvest,g19_00003_2
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_3.tif,harvest,g19_00003_3
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_4.tif,harvest,g19_00003_4
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_5.tif,harvest,g19_00003_5
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_6.tif,harvest,g19_00003_6
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_7.tif,harvest,g19_00003_7
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_8.tif,harvest,g19_00003_8
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00003_9.tif,harvest,g19_00003_9
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.00030731407498463427,data/fieldscapes_final/latvia/harvest/g19_00004_0.tif,harvest,g19_00004_0
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0052404438964241675,data/fieldscapes_final/latvia/harvest/g19_00004_1.tif,harvest,g19_00004_1
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_10.tif,harvest,g19_00004_10
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_11.tif,harvest,g19_00004_11
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_12.tif,harvest,g19_00004_12
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_13.tif,harvest,g19_00004_13
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_14.tif,harvest,g19_00004_14
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_15.tif,harvest,g19_00004_15
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_16.tif,harvest,g19_00004_16
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_17.tif,harvest,g19_00004_17
S2A_MSIL2A_20211008T093041_R136_T35VMC_20211008T204805,0.0,data/fieldscapes_final/latvia/harvest/g19_00004_18.tif,harvest,g19_00004_18
